timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700089065455,224,HTTP GET Request-healthz,200,OK,Thread Group 1-1,,true,,225,185,4,4,http://dev.ajitpatil.me/healthz,224,0,147
1700089065519,160,HTTP GET Request-healthz,200,OK,Thread Group 1-2,,true,,225,185,4,4,http://dev.ajitpatil.me/healthz,159,0,81
1700089065580,139,HTTP GET Request-healthz,200,OK,Thread Group 1-3,,true,,225,185,5,5,http://dev.ajitpatil.me/healthz,139,0,92
1700089065640,116,HTTP GET Request-healthz,200,OK,Thread Group 1-4,,true,,225,185,5,5,http://dev.ajitpatil.me/healthz,116,0,65
1700089065699,88,HTTP GET Request-healthz,200,OK,Thread Group 1-5,,true,,225,185,6,6,http://dev.ajitpatil.me/healthz,88,0,34
1700089065759,75,HTTP GET Request-healthz,200,OK,Thread Group 1-6,,true,,225,185,7,7,http://dev.ajitpatil.me/healthz,75,0,28
1700089065818,75,HTTP GET Request-healthz,200,OK,Thread Group 1-7,,true,,225,185,8,8,http://dev.ajitpatil.me/healthz,75,0,41
1700089065878,71,HTTP GET Request-healthz,200,OK,Thread Group 1-8,,true,,225,185,9,9,http://dev.ajitpatil.me/healthz,71,0,36
1700089065938,70,HTTP GET Request-healthz,200,OK,Thread Group 1-9,,true,,225,185,10,10,http://dev.ajitpatil.me/healthz,70,0,29
1700089065997,65,HTTP GET Request-healthz,200,OK,Thread Group 1-10,,true,,225,185,11,11,http://dev.ajitpatil.me/healthz,65,0,30
1700089065679,541,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-1,text,false,,262,363,13,13,http://dev.ajitpatil.me/v1/assignments,541,0,0
1700089066059,184,HTTP GET Request-healthz,200,OK,Thread Group 1-11,,true,,225,185,14,14,http://dev.ajitpatil.me/healthz,184,0,35
1700089065719,525,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-3,text,false,,262,363,14,14,http://dev.ajitpatil.me/v1/assignments,525,0,0
1700089065679,565,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-2,text,false,,262,363,14,14,http://dev.ajitpatil.me/v1/assignments,565,0,0
1700089065756,488,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-4,text,false,,262,363,14,14,http://dev.ajitpatil.me/v1/assignments,488,0,0
1700089066118,128,HTTP GET Request-healthz,200,OK,Thread Group 1-12,,true,,225,185,14,14,http://dev.ajitpatil.me/healthz,128,0,29
1700089066178,88,HTTP GET Request-healthz,200,OK,Thread Group 1-13,,true,,225,185,14,14,http://dev.ajitpatil.me/healthz,88,0,33
1700089066243,84,HTTP GET Request-healthz,200,OK,Thread Group 1-14,,true,,225,185,15,15,http://dev.ajitpatil.me/healthz,84,0,31
1700089066297,72,HTTP GET Request-healthz,200,OK,Thread Group 1-15,,true,,225,185,16,16,http://dev.ajitpatil.me/healthz,72,0,31
1700089066359,76,HTTP GET Request-healthz,200,OK,Thread Group 1-16,,true,,225,185,17,17,http://dev.ajitpatil.me/healthz,76,0,38
1700089066414,65,HTTP GET Request-healthz,200,OK,Thread Group 1-17,,true,,225,185,18,18,http://dev.ajitpatil.me/healthz,65,0,29
1700089065834,699,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-6,text,false,,262,363,18,18,http://dev.ajitpatil.me/v1/assignments,698,0,0
1700089065787,771,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-5,text,false,,262,363,19,19,http://dev.ajitpatil.me/v1/assignments,771,0,0
1700089065893,669,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-7,text,false,,262,363,19,19,http://dev.ajitpatil.me/v1/assignments,669,0,0
1700089066476,97,HTTP GET Request-healthz,200,OK,Thread Group 1-18,,true,,225,185,19,19,http://dev.ajitpatil.me/healthz,97,0,34
1700089065949,627,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-8,text,false,,262,363,19,19,http://dev.ajitpatil.me/v1/assignments,627,0,0
1700089066536,86,HTTP GET Request-healthz,200,OK,Thread Group 1-19,,true,,225,185,20,20,http://dev.ajitpatil.me/healthz,86,0,44
1700089066598,69,HTTP GET Request-healthz,200,OK,Thread Group 1-20,,true,,225,185,21,21,http://dev.ajitpatil.me/healthz,69,0,31
1700089066661,72,HTTP GET Request-healthz,200,OK,Thread Group 1-21,,true,,225,185,22,22,http://dev.ajitpatil.me/healthz,72,0,39
1700089066718,63,HTTP GET Request-healthz,200,OK,Thread Group 1-22,,true,,225,185,23,23,http://dev.ajitpatil.me/healthz,63,0,29
1700089066780,69,HTTP GET Request-healthz,200,OK,Thread Group 1-23,,true,,225,185,24,24,http://dev.ajitpatil.me/healthz,69,0,30
1700089066008,897,HTTP POST Request-Assignments,400,Bad Request,Thread Group 1-9,text,false,,262,363,25,25,http://dev.ajitpatil.me/v1/assignments,897,0,0
